latin,common,type,?,date,;location,grid,number,notes
Turdus merula,Blackbird,Animal,100,11/19/2022,"Hogs Wood, Okehampton, Devon",SX59059537,3 Adult,
Carduelis carduelis,Goldfinch,Animal,100,11/19/2022,"Hogs Wood, Okehampton, Devon",SX59059537,1 Adult,
Hedera helix,Ivy,Plant,100,11/19/2022,"Hogs Wood, Okehampton, Devon",SX59059537,,
Erithacus rubecula,Robin,Animal,100,11/19/2022,"Hogs Wood, Okehampton, Devon",SX59059537,1 Adult,
Rubus fruticosus agg.,Bramble,Plant,100,11/19/2022,"Hogs Wood, Okehampton, Devon",SX59059537,,
Urtica dioica,Common Nettle,Plant,100,11/19/2022,"Hogs Wood, Okehampton, Devon",SX59059537,,
Corylus,Hazel,Plant,100,11/19/2022,"Hogs Wood, Okehampton, Devon",SX59059537,,
Quercus,Oak,Plant,100,11/19/2022,"Hogs Wood, Okehampton, Devon",SX59059537,,
Cepaea nemoralis,Garden Snail,Mollusc,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX59059537,2 Adult,
Henia vesuviana,white-striped centipede,Insect,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX59059537,1 Adult,
Oniscus asellus,Common Shiny Woodlouse,Insect,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX59059537,25 Adult,
Arcitalitrus dorrieni,Landhopper,Insect,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX59059537,100 Adult,
Staphylinidae larvae,Rove beetle larva,Insect,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX59059537,1,
Bombus terrestris,Buff-tailed bumblebee,Insect,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX59059537,2 Adult,
Erinaceus europaeus,Hedgehog,Animal,100,4/3/2023,"Hogs Wood, Okehampton, Devon",SX59059537,,Footprint tunnel 5 positive prints from 6 tunnels (4th April 23)
Apodemus sylvaticus,Wood mouse,Animal,100,4/2/2023,"Hogs Wood, Okehampton, Devon",SX59059537,,Footprint tunnel
Aglais io,Peacock,Insect,100,4/4/2023,"Hogs Wood, Okehampton, Devon",SX59059537,2 Adult,Feeding on dandelions
Phylloscopus collybita,Chiffchaff,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5905595384,1 Male Adult,Singing
Pyrrhula pyrrhula,Bullfinch,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5903795398,1 Adult,Calling
Cyanistes caeruleus,Blue Tit,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5902995364,1 Male Adult,Singing
Erithacus rubecula,Robin,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5901395378,1 Male Adult,Singing
Troglodytes troglodytes,Wren,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5903895327,1 Adult,Calling
Fringilla coelebs,Chaffinch,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5906695364,1 Adult,Calling
Turdus merula,Blackbird,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5904895408,1 Adult,Calling
Erithacus rubecula,Robin,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5903695433,1 Male Adult,Singing
Cyanistes caeruleus,Blue Tit,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5904295422,1 Male Adult,Singing
Corvus corone,Carrion Crow,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5908195367,1 Adult,Carrying nesting material
Phylloscopus collybita,Chiffchaff,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5901695447,1 Male Adult,Singing
Chloris chloris,Greenfinch,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5900595429,1 Male Adult,Singing
Certhia familiaris,Treecreeper,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5899495446,1 Male Adult,Singing
Sylvia atricapilla,Blackcap,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5903895458,1 Male Adult,Singing
Turdus merula,Blackbird,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5899695460,1 Male Adult,Singing
Troglodytes troglodytes,Wren,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5900595474,1 Male Adult,Singing
Erithacus rubecula,Robin,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5898695469,1 Male Adult,Singing
Phylloscopus collybita,Chiffchaff,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5907195513,1 Male Adult,Singing
Spinus spinus,Siskin,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5907795524,1 Adult,Calling
Cyanistes caeruleus,Blue Tit,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5907095533,1 Male Adult,Singing
Erithacus rubecula,Robin,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5906195523,1 Male Adult,Singing
Turdus merula,Blackbird,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5905295467,1 Male Adult,
Cyanistes caeruleus,Blue Tit,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5904895463,1 Adult,Calling
Erithacus rubecula,Robin,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5903695468,1 Male Adult,Singing
Cyanistes caeruleus,Blue Tit,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5906695481,1 Male Adult,Singing
Chloris chloris,Greenfinch,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5902995484,1 Male Adult,Singing
Prunella modularis,Dunnock,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5903195445,1 Male Adult,Singing
Carduelis carduelis,Goldfinch,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5903595404,1 Male Adult,Singing
Streptopelia decaocto,Collared Dove,Animal,100,4/1/2023,"Hogs Wood, Okehampton, Devon",SX5898795428,1 Male Adult,Singing
Pararge aegeria,Speckled Wood,Insect,100,5/28/2023,"Hogs Wood, Okehampton, Devon",SX59059537,3 Adult,
Eptesicus serotinus,Serotine bat,Animal,100,8/28/2023,"Hogs Wood, Okehampton, Devon",SX590953,1,SM4 ultrasonic bat detector
Myotis sp.,Myotis sp.,Animal,100,8/28/2023,"Hogs Wood, Okehampton, Devon",SX590953,104,SM4 ultrasonic bat detector
Nyctalus noctula,Noctule,Animal,100,8/28/2023,"Hogs Wood, Okehampton, Devon",SX590953,47,SM4 ultrasonic bat detector
Pipistrellus pipistrellus,Common pipistrelle,Animal,100,8/28/2023,"Hogs Wood, Okehampton, Devon",SX590953,394,SM4 ultrasonic bat detector
Pipistrellus pygmaeus,Soprano pipistrelle,Animal,100,8/28/2023,"Hogs Wood, Okehampton, Devon",SX590953,24,SM4 ultrasonic bat detector
Rhinolophus ferrumequinum,Greater horseshoe bat,Animal,100,8/28/2023,"Hogs Wood, Okehampton, Devon",SX590953,1,SM4 ultrasonic bat detector
Leptophyes punctatissima,Speckled bush cricket,Insect,100,8/28/2023,"Hogs Wood, Okehampton, Devon",SX590953,numerous,SM4 ultrasonic bat detector
Pholidoptera griseoaptera,Dark bush cricket,Insect,100,8/28/2023,"Hogs Wood, Okehampton, Devon",SX590953,numerous,SM4 ultrasonic bat detector
Angius fragilis,slow worm,Animal,100,9/7/2023,"Hogs Wood, Okehampton, Devon",,adult male,reptile mat/refugia
Angius fragilis,slow worm,Animal,100,9/7/2023,"Hogs Wood, Okehampton, Devon",,adult female,reptile mat/refugia
Angius fragilis,slow worm,Animal,100,9/7/2023,"Hogs Wood, Okehampton, Devon",,juvenile,reptile mat/refugia
Buteo buteo,buzzard,Animal,100,9/7/2023,"Hogs Wood, Okehampton, Devon",,adult,perching and hunting in flight
